cid,Smiles,classlabel
CHEMBL505776,O=C(CC(=O)c1ccc(C(F)(F)F)cc1)C(=O)NC1CCC(NC(=O)C(=O)CC(=O)c2ccc(C(F)(F)F)cc2)CC1,0
CHEMBL1223980,CC1(C)C=Cc2c(ccc3c2C(=O)C(O)=C(C2=C(C4=C(O)C(=O)c5c(ccc6c5C=CC(C)(C)O6)C4=O)C(=O)c4c(ccc5c4CCC(C)(C)O5)C2=O)C3=O)O1,0
CHEMBL354416,O=C(O)c1ccccc1C(c1cc(Br)c(O)c(Br)c1)c1ccc(Br)c(O)c1Br,0
CHEMBL129598,Cc1cc(S(=O)(=O)Nc2nnc3cnc4ccccc4n23)c(S)cc1Cl,0
CHEMBL3310081,CNC(=O)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2n(CC(=O)NCC(F)(F)F)c1=O,1
CHEMBL177054,O=C(O)C(CSSCC(Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)O)Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0
CHEMBL549592,CC(=O)N1CCN(C)C(C)(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)C1,1
CHEMBL3582080,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc3ccccc3c2)c2ccccc2c1=O,0
CHEMBL1813493,O=C(NCc1ccc2[nH]ccc2c1)c1cccc(O)c1O,0
CHEMBL3238127,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)cc2)c2cc(N3CCNCC3)ccc2c1=O,0
CHEMBL562360,CC(C)n1cc(C(=O)O)c(=O)c2cc(Cc3cccc(Cl)c3Cl)ccc21,1
CHEMBL511508,O=C(O)c1cn(CCO)c2ccc(Sc3ccccc3)cc2c1=O,0
CHEMBL497605,COc1cccc2c1c(C(=O)/C=C(\O)C(=O)O)cn2Cc1ccccc1F,1
CHEMBL236241,O=C1c2c(O)c(O)cc(=O)n2CCCN1Cc1ccc(F)cc1,0
CHEMBL3238125,CCOC(=O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)cc2)c2cc(N(C)C)ccc2c1=O,0
