cid,Smiles,classlabel
CHEMBL243265,CN1CC[C@@H](O)C[C@H]1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,1
CHEMBL2442284,O=C(O)C(=O)CC(=O)c1ccc2ccc3c(Cl)cccc3c2c1,0
CHEMBL3288282,N#Cc1ccc2c(C(=O)NCc3ccc(F)cc3)c(O)n(O)c(=O)c2c1,1
CHEMBL3309906,CCN(CC)C(=O)Cn1c(=O)c(C(=O)NC)c(O)c2ncc(Cc3ccc(F)cc3)cc21,1
CHEMBL243151,CN1CCN(S(=O)(=O)c2ccccc2)CC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,1
CHEMBL1668669,Cc1ccc(CC2C(=O)N(O)C(=O)c3ccccc32)cc1,0
CHEMBL240334,O=C1Nc2ccccc2/C1=N\NC(=O)c1ccc(O)cc1O,0
CHEMBL507259,O=C(O)/C=C/c1ccc(O)c(O)c1CC(=O)O,0
CHEMBL210962,O=C(CC(=O)C(=O)O)CC(=O)c1ccccn1,0
CHEMBL1270611,NCc1ccc(-c2ccc(Cc3cc(=O)n(O)c4ncccc34)cc2)cc1,0
CHEMBL560769,O=C1c2ccc(O)c(O)c2C(=O)N1Cc1c(F)c(F)c(F)c(F)c1F,0
CHEMBL368123,O=C1OC2C(O)COC2(O)C1(O)Cc1cc(O)c(O)c(Br)c1Br,0
CHEMBL1914564,O=C(NCc1ccc(F)cc1)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2n(CC(=O)N2CCOCC2)c1=O,1
CHEMBL1682066,O=Cc1cc(Br)cc(C(=O)NCc2ccc(F)cc2)c1O,0
CHEMBL171896,CCCCCc1cc2cc(O)cc(Oc3c(O)cc(O)c(C(=O)O)c3CCCCC)c2c(=O)o1,0
CHEMBL456337,O=C1Cc2ccc(-c3ccc(O)cc3)cc2C(=O)N1O,0
CHEMBL2316135,O=C(NCCCN1CCCC1)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2[nH]c1=O,1
CHEMBL2171872,COc1ccc2ccccc2c1Nc1c(OC)ccc2ccccc12,0
CHEMBL512638,CCCCCC[C@@H](C)C1=C(O)C(=O)[C@@H]2[C@H](O)[C@H](C)C[C@H](O)[C@H]2[C@]1(C)C(=O)/C=C\O,0
CHEMBL128670,CC1=NNC(=O)C1/N=N/c1ccc(S(=O)(=O)Nc2nccs2)cc1,0
CHEMBL558641,CC1(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2CCN1CC(N)=O,1
CHEMBL339572,CC1N=NC(c2ccc(S(=O)(=O)NC3SC(=S)NC3=O)cc2)S1,0
CHEMBL235200,Cc1ccc(C2C(C(=O)c3ccc(Cl)cc3)=C(O)C(=O)N2CC(=O)O)cc1,0
CHEMBL232446,O=C(NCc1ccc(Cl)c(Cl)c1)c1nc(-c2cccs2)nc(O)c1O,1
CHEMBL3597476,COc1ccc2nc(/C=C3\SC(=S)N(C(C(=O)O)C(C)C)C3=O)ccc2c1,0
CHEMBL39883,Nc1ccc(/C=C/c2ccc3ccc(C(=O)O)c(O)c3n2)cc1,0
CHEMBL204751,CCOC(=O)C(=O)/C=C(\O)c1ccc2c(c1)c(=O)c(/C(O)=C/C(=O)C(=O)OCC)cn2Cc1ccc(F)cc1,0
CHEMBL361350,O=c1[nH]c2sccc2c(=O)n1O,0
CHEMBL191022,COc1cc(/C=C/S(=O)(=O)CS(=O)(=O)/C=C/c2ccccc2)cc(O)c1O,0
CHEMBL108672,Oc1ccc(-c2ccc3cc(O)c(O)cc3c2)cc1O,0
CHEMBL39143,O=C(O)c1ccc2ccc(/C=C/c3cccnc3)nc2c1O,0
CHEMBL2311882,COCCN1C(=O)/C(=C\NNC(=O)c2cc(Cl)ccc2O)C(=O)NC1=S,0
CHEMBL1928167,Cc1c(C(=O)/C=C(\O)c2cc(O)c(O)c(O)c2)nnn1Cc1ccc(F)cc1,0
CHEMBL563628,CC(=O)N1CCCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)[nH]1,1
CHEMBL471330,Cc1cc(S(=O)(=O)Nc2nc3ccsc3c(=O)[nH]2)c(SCc2ccccc2)cc1Cl,0
CHEMBL1813511,CS(=O)(=O)Nc1cc(O)c(O)c(C(=O)NCc2ccc(F)cc2)c1,0
CHEMBL81935,O=c1c(C(c2ccc([N+](=O)[O-])cc2)c2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12,0
CHEMBL2442195,CC(C)(C)c1nc(C(=O)[N-]Cc2ccc(F)cc2)c(O)c(=O)n1CCCNC(=O)C1CC1.[Na+],0
CHEMBL3259898,Cc1nc2ccccc2c(-c2ccc(Cl)cc2)c1[C@H](OC(C)(C)C)C(=O)O,1
CHEMBL111182,CC1=NN(C(=O)c2ccccc2O)C(=O)/C1=C/c1ccccc1O,0
CHEMBL496454,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc(F)cc2)c2cc(N3CCCC3)ccc2c1=O,1
CHEMBL1682043,O=C(O)c1cc(F)cc(C(=O)/C=C/c2cc(Cl)cc(Cl)c2Cl)c1O,0
CHEMBL549415,O=C1c2ccc(O)c(O)c2C(=O)N1Cc1c(F)ccc(F)c1F,0
CHEMBL212921,COc1c2c(c(O)c3ncccc13)C(=O)N(Cc1ccc(F)cc1)C2=O,1
CHEMBL382489,O=C(c1ccccc1)c1cc(Br)ccc1NC(=O)c1nc[nH]c1C(=O)O,0
CHEMBL552202,CC1(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2CCN1Cc1ccccn1,1
CHEMBL549546,O=C(O)c1cn(CCO)c2cc(F)c(Cc3cccc(Cl)c3Cl)cc2c1=O,1
CHEMBL1258617,CN1CCN(c2cc(N3CCOCC3)cn3c(=O)c(O)c(-c4ncc(Cc5ccc(F)cc5)[nH]4)nc23)S1(=O)=O,1
CHEMBL416207,O=C(/C=C/c1ccc(O)c(O)c1)NC(COC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O,0
CHEMBL2087233,CC[C@H](C)[C@@H]1NC(=O)[C@H]2CSC(=N2)[C@@H](Cc2ccccc2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H](C(C)C)NC1=O,0
CHEMBL3087620,O=C(/C=C/c1cccn1Cc1ccc(F)c(F)c1)CC(=O)C(=O)O,0
CHEMBL538878,COc1c2c(c(O)c3c1C(=O)c1c(cc(O)c(C)c1O)C3=O)-c1c(cc(/C=N/NC(=O)c3ccccc3)c(C(=O)O)c1O)CC2,0
CHEMBL429327,CCOc1cc(/C=C2\C(=O)N(c3nnn[nH]3)N=C2C)cc(Cl)c1OCC,1
CHEMBL527049,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)CCSC)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)O,0
CHEMBL375484,O=C(O)C(=O)CC(=O)c1ccc2c(ccc3ccccc32)c1,0
CHEMBL129812,CCCn1cnnc1NS(=O)(=O)c1cc(C(=O)Nc2ccc(C)cc2)c(Cl)cc1SCC(=O)O,0
CHEMBL468233,COc1cccc(C(=O)CC(=O)C(=O)NC2CCC(NC(=O)C(=O)CC(=O)c3cccc(OC)c3)CC2)c1,0
CHEMBL1682063,Cc1cc(C(=O)O)c(O)c(C(=O)/C=C/c2c(Cl)ccc(Cl)c2Cl)c1,0
CHEMBL3185210,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([O-])C(F)(F)F,0
CHEMBL559284,O=C1c2ccc(O)c(O)c2C(=O)N1Cc1ccc(F)c(Cl)c1,0
CHEMBL432788,O=C(O)C(=O)/C=C(\O)c1ccnc2ccccc12,0
CHEMBL3360131,Cn1c(C2CCOCC2)nc(C(=O)NCc2ccc(F)cc2N2CCCCS2(=O)=O)c(O)c1=O,1
CHEMBL236409,CNC(=O)c1cn2c(c1O)C(=O)N(Cc1ccc(Cl)c(Cl)c1)CC2,1
CHEMBL550574,Cc1cc(CN2C(=O)c3ccc(O)c(O)c3C2=O)ccc1F,0
CHEMBL525803,CN1C(=O)[C@@H](c2cc(Cl)c(O)c(Cl)c2)NC(=O)[C@@H]2NC(=O)[C@@H](c3cc(Cl)c(O)c(Cl)c3)NC(=O)[C@H](NC(=O)C(=O)c3cc(Cl)c(O)c(Cl)c3)Cc3c[nH]c4c(cccc34)-c3cc2cc(c3O)Oc2ccc(cc2)C[C@H]1C(=O)N[C@@H](C(=O)O)c1ccc(O)cc1,0
CHEMBL3287922,Cc1ccc(-c2nc(C)c([C@H](OC(C)(C)C)C(=O)O)c(-c3ccc4c(c3C)CCCO4)c2C)cc1C,1
CHEMBL237292,O=C(O)CCC(=O)Nc1ccccc1-c1ccccc1NC(=O)CCC(=O)O,0
CHEMBL371917,CC(=O)c1cc(C(=O)CC(=O)Nc2ccc([N+](=O)[O-])cc2)sc1Nc1ccccc1,0
CHEMBL375956,O=C(O)C(=O)CC(=O)c1ccc2ccccc2c1,0
CHEMBL4227772,O=C(O)CC(O)/C=N/c1ccc(O)c(O)c1O,0
CHEMBL280299,[N-]=[N+]=Nc1cccc(C(=O)CC(=O)C(=O)O)c1,0
CHEMBL552065,CC1(C)NC(=O)Cn2c1nc(C(=O)NCc1ccc(F)cc1)c(O)c2=O,1
CHEMBL563552,O=C1c2ccc(O)c(O)c2C(=O)N1Cc1cc(F)c(F)cc1F,0
CHEMBL561566,CO/N=C/c1cc2c(c(O)c1C(=O)O)-c1c(O)c3c(c(OC)c1CC2)C(=O)c1c(cc(O)c(C)c1O)C3=O,0
CHEMBL3582066,O=C(O)/C(O)=C/C(=O)c1cn(Cc2ccc(Cl)cc2Cl)c2ccccc2c1=O,0
CHEMBL555734,CCOC(=O)Cn1ncc2cc3c(c(O)c2c1=O)-c1c(O)c2c(c(OC)c1CC3)C(=O)c1c(cc(O)c(C)c1O)C2=O,0
CHEMBL2442185,CCCC(=O)NCCCn1c(C(C)(C)C)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,0
CHEMBL1773320,COCCN(C)Cc1cn(Cc2ccc(F)cc2)c2cnc3c(c12)CCN(O)C3=O,1
CHEMBL63592,O=C(/C=C/c1ccc(O)c(O)c1)OC(C(=O)O)C(OC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O,1
CHEMBL593913,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1.[Cl-],0
CHEMBL2316134,O=C(NCCN1CCCCC1)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2[nH]c1=O,1
CHEMBL525898,COc1cccc2c1c(C(=O)/C=C(\O)C(=O)O)cn2Cc1cccc(F)c1,1
CHEMBL3360129,Cn1c(C2CCOCC2)nc(C(=O)NCc2ccc(F)cc2S(C)(=O)=O)c(O)c1=O,1
CHEMBL3334640,O=C(NCc1cccc(Cl)c1)c1nc(-c2ccc(F)cc2)[nH]c(=O)c1O,0
CHEMBL2297148,O=C1NC(=S)SC1NS(=O)(=O)c1ccc(/N=N/c2ncccn2)cc1,0
CHEMBL396890,CNC(=O)c1cn2c(c1O)C(=O)N(Cc1ccc(F)cc1)CC2,1
CHEMBL444478,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,0
CHEMBL2442279,O=C(O)C(=O)CC(=O)c1ccc2ccc3ccccc3c2c1F,0
CHEMBL564212,CN(C)C(=O)C(=O)N1CCn2c(nc(C(=O)NCc3ccc(F)cc3)c(O)c2=O)C1(C)C,1
CHEMBL380548,O=C(O)C(=O)/C=C(\O)c1cn(Cc2ccc(F)cc2)c(=O)n(Cc2ccc(F)cc2)c1=O,0
CHEMBL264109,CCOC(=O)C1=C(O)CCC2(C(=O)OC(C)(C)OC2=O)[C@H]1c1ccco1,0
CHEMBL526099,Cc1c(-c2ccc(C=C3C(=O)NC(=S)NC3=O)o2)cccc1[N+](=O)[O-],0
CHEMBL438244,CC[C@H](C)[C@H](NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)[C@H](CS)NC(=O)[C@H](C)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,0
CHEMBL2398137,CC[C@H](C)[C@@H]1NC(=O)[C@H](CC(C)C)NC(=O)[C@@](C)(NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](C)NC(=O)[C@@H](N)[C@@H](C)O)CCC/C=C\CCC[C@@](C)(C(=O)NCC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)NC(=O)[C@H](CC(C)C)NC1=O,0
CHEMBL1682041,O=C(O)c1cc(F)cc(C(=O)/C=C/c2cccc(Cl)c2Cl)c1O,0
CHEMBL1223544,CC(=O)N1C[C@@H](F)C[C@H]1c1nc(C(=O)NCc2ccc(F)c(Cl)c2)c(O)c(=O)n1C,1
